<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
25.09.2020,10:16:00,109369,115182,107909,112243,16
25.09.2020,10:17:00,111733,115280,107967,110736,18
25.09.2020,10:18:00,109652,115244,107916,110703,3
25.09.2020,10:19:00,109027,115265,108138,113903,29
25.09.2020,10:20:00,113438,115133,107973,114877,13
25.09.2020,10:21:00,113856,115268,107976,110307,81
25.09.2020,10:22:00,110913,115272,107964,109120,21
25.09.2020,10:23:00,110656,115297,107904,109720,70
25.09.2020,10:24:00,111679,115199,107975,110137,86
25.09.2020,10:25:00,110643,114922,108020,110730,17
25.09.2020,10:26:00,115230,115230,108152,111454,1
25.09.2020,10:27:00,109373,115190,108037,109497,23
25.09.2020,10:28:00,109586,115017,107950,114277,96
25.09.2020,10:29:00,112933,115222,108073,111973,98
25.09.2020,10:30:00,112944,115057,108016,108964,1
25.09.2020,10:31:00,112955,115050,107903,109360,41
25.09.2020,10:32:00,113053,115208,107945,110782,70
25.09.2020,10:33:00,113167,115295,107965,109508,18
25.09.2020,10:34:00,110935,115279,107970,110147,26
25.09.2020,10:35:00,112257,115224,107932,111165,78
25.09.2020,10:36:00,109343,115240,107933,114387,26
25.09.2020,10:37:00,110949,115269,107992,109860,20
25.09.2020,10:38:00,111173,115195,108649,109390,81
25.09.2020,10:39:00,108803,115266,107979,109927,50
25.09.2020,10:40:00,111976,115275,107911,114420,71
25.09.2020,10:41:00,109867,115164,108228,108448,75
25.09.2020,10:42:00,112755,115119,107994,110833,56
25.09.2020,10:43:00,112641,115054,108104,109746,24
25.09.2020,10:44:00,110530,115273,107993,108944,43
25.09.2020,10:45:00,111753,115143,108356,111802,38
25.09.2020,10:46:00,114926,115049,107930,114520,16
25.09.2020,10:47:00,111251,115066,108029,114310,10
25.09.2020,10:48:00,114623,115173,107910,108940,85
25.09.2020,10:49:00,112710,115107,108035,115087,68
25.09.2020,10:50:00,114767,115068,107957,114745,42
25.09.2020,10:51:00,111346,115130,107909,108527,91
25.09.2020,10:52:00,113127,115259,107966,109808,39
25.09.2020,10:53:00,115173,115239,108113,115239,42
25.09.2020,10:54:00,108532,115241,108165,110782,7
25.09.2020,10:55:00,113470,115013,107997,109621,20
25.09.2020,10:56:00,108127,115281,107904,112117,73
25.09.2020,10:57:00,112746,115056,108113,109905,12
25.09.2020,10:58:00,110818,115149,107938,107938,87
25.09.2020,10:59:00,110731,115089,107917,108276,47
25.09.2020,11:00:00,114727,115267,108000,110372,3
25.09.2020,11:01:00,108861,115130,107969,113826,64
25.09.2020,11:02:00,109727,115258,107934,108766,13
25.09.2020,11:03:00,111628,115236,107967,115089,55
25.09.2020,11:04:00,112379,115213,108116,114173,90
25.09.2020,11:05:00,110557,115194,107953,108631,25
25.09.2020,11:06:00,110953,115203,107973,110104,93
25.09.2020,11:07:00,109437,115238,107995,110683,97
25.09.2020,11:08:00,115236,115236,108271,111326,9
25.09.2020,11:09:00,110745,114961,108083,108959,56
25.09.2020,11:10:00,110779,115238,107900,110603,32
25.09.2020,11:11:00,109149,115104,107952,111474,70
25.09.2020,11:12:00,114276,115258,107970,111450,87
25.09.2020,11:13:00,110943,114922,107988,109327,25
25.09.2020,11:14:00,110566,115186,108428,111500,59
25.09.2020,11:15:00,114584,115245,107904,108036,87
25.09.2020,11:16:00,110745,114956,108095,111557,81
25.09.2020,11:17:00,113110,115277,107924,114301,39
25.09.2020,11:18:00,113025,115254,108273,110291,98
25.09.2020,11:19:00,110430,115044,108149,111495,11
25.09.2020,11:20:00,109542,115245,107936,114800,10
25.09.2020,11:21:00,108501,115053,107903,110516,66
25.09.2020,11:22:00,108003,115236,107966,115236,60
25.09.2020,11:23:00,114556,115245,107916,109953,8
25.09.2020,11:24:00,109663,115180,107933,112630,45
25.09.2020,11:25:00,114579,115202,107969,109390,97
25.09.2020,11:26:00,111840,115046,107982,113639,46
25.09.2020,11:27:00,110930,115285,107960,111687,8
25.09.2020,11:28:00,113393,115182,108030,114176,42
25.09.2020,11:29:00,112840,115041,107982,109337,90
25.09.2020,11:30:00,112801,115134,108028,108489,54
25.09.2020,11:31:00,114037,114877,108132,111451,33
25.09.2020,11:32:00,109767,115142,107992,109143,48
25.09.2020,11:33:00,110811,115083,107934,109220,69
25.09.2020,11:34:00,109904,115119,107924,114426,7
25.09.2020,11:35:00,110991,115277,108115,111693,40
25.09.2020,11:36:00,114003,115282,107914,115232,55
25.09.2020,11:38:00,112555,115230,108154,110774,58
25.09.2020,11:39:00,110495,115199,107959,113896,81
25.09.2020,11:40:00,113117,115274,107929,107929,16
25.09.2020,11:41:00,112000,115243,107916,108555,54
25.09.2020,11:42:00,115194,115194,108052,111567,25
25.09.2020,11:43:00,109064,115091,107919,108108,47
25.09.2020,11:44:00,110644,115118,108098,113374,74
25.09.2020,11:45:00,109437,115218,107977,114313,60
25.09.2020,11:46:00,111532,115210,108210,112447,67
25.09.2020,11:47:00,111189,114718,107968,110442,76
25.09.2020,11:48:00,114173,115097,108015,110611,74
25.09.2020,11:49:00,113237,115278,107904,114655,64
25.09.2020,11:50:00,112492,114970,107907,109479,30
25.09.2020,11:51:00,109180,115290,107917,112814,7
25.09.2020,11:52:00,112454,115187,108200,111375,82
25.09.2020,11:53:00,111573,115138,107965,114057,41
25.09.2020,11:54:00,111580,115292,108290,108951,34
25.09.2020,11:55:00,110077,115165,107905,109641,1
25.09.2020,11:56:00,110902,115136,108288,113664,1
25.09.2020,11:57:00,109378,115291,108051,111070,73
25.09.2020,11:58:00,109353,115226,108028,111819,73
25.09.2020,11:59:00,114179,115129,108012,111821,14
25.09.2020,12:00:00,113266,115262,108428,108506,70
25.09.2020,12:01:00,113190,114943,107942,108561,88
25.09.2020,12:02:00,110322,115235,107941,114323,54
25.09.2020,12:03:00,112419,115171,107947,113254,46
25.09.2020,12:04:00,108007,115066,108007,114134,4
25.09.2020,12:05:00,113682,115291,107913,107913,39
25.09.2020,12:06:00,108527,115182,108151,112716,31
25.09.2020,12:07:00,114614,115200,108082,114697,16
25.09.2020,12:08:00,113887,115289,108217,113345,62
25.09.2020,12:09:00,113255,115221,108004,114963,21
25.09.2020,12:10:00,109960,115282,108012,113198,80
25.09.2020,12:11:00,113933,115129,108104,109479,3
25.09.2020,12:12:00,108614,115146,107988,113215,62
25.09.2020,12:13:00,115046,115068,108197,108267,90
25.09.2020,12:14:00,112266,115259,107909,109032,42
25.09.2020,12:15:00,110361,115258,108049,114952,83
25.09.2020,12:16:00,113554,115280,107945,112250,79
25.09.2020,12:17:00,113166,115248,107991,109827,40
25.09.2020,12:18:00,115170,115215,107914,114761,52
25.09.2020,12:19:00,113669,115274,107930,114557,60
25.09.2020,12:20:00,114869,115080,108045,115055,71
25.09.2020,12:21:00,113423,115298,108034,113540,78
25.09.2020,12:22:00,112154,114980,107964,112071,39
25.09.2020,12:23:00,108559,115283,107932,112820,85
25.09.2020,12:24:00,110595,115093,107927,112838,66
25.09.2020,12:25:00,109582,115163,108024,115163,29
25.09.2020,12:26:00,111172,115046,107932,110623,26
25.09.2020,12:27:00,112340,115151,107915,109633,30
25.09.2020,12:28:00,108907,115161,107981,112772,34
25.09.2020,12:29:00,109170,115224,107991,108429,85
25.09.2020,12:30:00,114377,115097,108026,113411,42
25.09.2020,12:31:00,113186,115252,108259,112659,54
25.09.2020,12:32:00,109677,115276,108064,114947,79
25.09.2020,12:33:00,109028,115255,108109,109886,36
25.09.2020,12:34:00,110177,115220,108009,108769,20
25.09.2020,12:35:00,110487,114766,107973,108489,2
25.09.2020,12:36:00,108951,115272,108083,114054,80
25.09.2020,12:37:00,109962,115055,108088,113119,26
25.09.2020,12:38:00,108433,115158,108083,113418,6
25.09.2020,12:39:00,112344,115200,107918,112989,58
25.09.2020,12:40:00,109454,115287,108029,114881,62
25.09.2020,12:41:00,108535,114698,108005,112295,8
25.09.2020,12:42:00,111915,115065,107941,108060,97
25.09.2020,12:43:00,111787,115295,107963,113250,48
25.09.2020,12:44:00,112113,115283,108168,110741,86
25.09.2020,12:45:00,109490,115162,107910,113220,69
25.09.2020,12:46:00,112929,114980,108019,109626,77
25.09.2020,12:47:00,111224,115157,107986,108843,80
25.09.2020,12:48:00,110048,115040,108236,109182,65
25.09.2020,12:49:00,109821,115142,107925,115142,29
25.09.2020,12:50:00,108935,115138,108022,114795,55
25.09.2020,12:51:00,113261,115232,107947,108167,71
25.09.2020,12:52:00,111539,115162,107905,109153,49
25.09.2020,12:53:00,113515,115097,108168,110520,53
25.09.2020,12:54:00,115133,115133,108042,108178,26
25.09.2020,12:55:00,114507,115103,107920,114188,91
25.09.2020,12:56:00,113509,115222,107905,108494,63
25.09.2020,12:57:00,109264,115281,108107,113475,87
25.09.2020,12:58:00,111777,115100,107971,110670,18
25.09.2020,12:59:00,112554,115136,107951,112870,68
25.09.2020,13:00:00,109598,115239,107928,108922,31
25.09.2020,13:01:00,113067,114873,108017,111986,61
25.09.2020,13:02:00,108509,115247,108143,111587,37
25.09.2020,13:03:00,110720,115266,107920,112956,90
25.09.2020,13:04:00,114569,114982,107975,114597,44
25.09.2020,13:05:00,110834,115291,108014,108389,49
25.09.2020,13:06:00,112161,115291,107913,114379,44
25.09.2020,13:07:00,108294,115234,108019,113062,58
25.09.2020,13:08:00,110651,115115,107942,113933,78
25.09.2020,13:09:00,114637,115168,107925,112675,96
25.09.2020,13:10:00,113924,115248,108333,112590,26
25.09.2020,13:11:00,113955,115238,107931,112493,69
25.09.2020,13:12:00,110692,115191,107909,111398,85
25.09.2020,13:13:00,111174,114843,107943,112870,78
25.09.2020,13:14:00,115067,115264,107931,113258,76
25.09.2020,13:15:00,111883,115209,107900,110072,36
25.09.2020,13:16:00,112979,115279,107981,110663,35
25.09.2020,13:17:00,110059,115188,108051,109419,58
25.09.2020,13:18:00,108725,115232,108029,112439,71
25.09.2020,13:19:00,111810,115295,107933,110037,76
25.09.2020,13:20:00,109661,114875,108019,108313,98
25.09.2020,13:21:00,110320,115288,107904,109550,17
25.09.2020,13:22:00,114985,115265,107982,110618,37
25.09.2020,13:23:00,115056,115291,107915,114379,25
25.09.2020,13:24:00,113849,115277,107913,114176,26
25.09.2020,13:25:00,113628,115051,107915,108042,62
25.09.2020,13:26:00,111539,115194,107998,111108,63
25.09.2020,13:27:00,109188,115219,108072,111657,42
25.09.2020,13:28:00,112028,115294,107970,113445,48
25.09.2020,13:29:00,109542,115255,107960,114461,92
25.09.2020,13:30:00,110550,115210,108028,111176,85
25.09.2020,13:31:00,108595,115200,108032,114500,10
25.09.2020,13:32:00,109372,115232,108451,111578,68
25.09.2020,13:33:00,110889,114872,107959,110350,33
25.09.2020,13:34:00,113714,115188,108369,115145,93
25.09.2020,13:35:00,114472,115116,107947,112252,31
25.09.2020,13:36:00,108078,114963,107958,114360,86
25.09.2020,13:37:00,109032,115188,107981,112082,90
25.09.2020,13:38:00,110867,115297,107956,110881,65
25.09.2020,13:39:00,110910,115163,108214,108214,80
25.09.2020,13:40:00,108510,115250,107963,114340,35
25.09.2020,13:41:00,112566,115197,107925,112307,36
25.09.2020,13:42:00,108065,115267,108065,109168,70
25.09.2020,13:43:00,111921,115178,108059,112340,5
25.09.2020,13:44:00,109818,115232,108181,110655,31
25.09.2020,13:45:00,113246,115161,108080,114584,1
25.09.2020,13:46:00,112873,115097,107902,112204,60
25.09.2020,13:47:00,108135,114849,107910,112637,70
25.09.2020,13:48:00,113427,115164,107993,108355,4
25.09.2020,13:49:00,108910,114864,108186,109851,65
25.09.2020,13:50:00,109836,115251,107916,108727,5
25.09.2020,13:51:00,112924,114555,108036,108088,84
25.09.2020,13:52:00,110940,115197,108058,110488,62
25.09.2020,13:53:00,113568,115235,108424,114325,58
25.09.2020,13:54:00,109705,115179,107923,114624,73
25.09.2020,13:55:00,109918,115286,107910,109285,12
25.09.2020,13:56:00,110908,115063,108121,113691,96
25.09.2020,13:57:00,109837,115147,108069,111839,79
25.09.2020,13:58:00,112021,115238,108155,113561,30
25.09.2020,13:59:00,108865,115245,107931,113747,31
25.09.2020,14:00:00,111926,115290,108040,110058,32
25.09.2020,14:01:00,109118,115288,108088,111985,8
25.09.2020,14:02:00,110957,115292,108351,109355,8
25.09.2020,14:03:00,111614,115046,108096,112194,84
25.09.2020,14:04:00,113289,115286,108043,114111,32
25.09.2020,14:05:00,109119,115277,108059,111511,17
25.09.2020,14:06:00,111461,115212,108091,114161,55
25.09.2020,14:07:00,112763,115106,108035,110384,84
25.09.2020,14:08:00,109516,115147,108182,111178,55
25.09.2020,14:09:00,110470,115295,107958,115017,53
25.09.2020,14:10:00,110996,115142,108055,110979,28
25.09.2020,14:11:00,110850,115011,108013,114267,32
25.09.2020,14:12:00,112123,115226,108038,109548,18
25.09.2020,14:13:00,108812,115167,108021,111704,56
25.09.2020,14:14:00,112914,115157,107931,114312,64
25.09.2020,14:15:00,113184,115240,108026,109336,55
25.09.2020,14:16:00,109187,115164,108146,108571,46
25.09.2020,14:17:00,112046,115027,107973,110699,74
25.09.2020,14:18:00,108455,115119,107908,112517,89
25.09.2020,14:19:00,110506,115115,107960,108012,53
25.09.2020,14:20:00,113904,115298,108015,112447,11
25.09.2020,14:21:00,108821,115044,108082,110027,84
25.09.2020,14:22:00,109896,115247,108182,109913,17
25.09.2020,14:23:00,112377,115287,107934,113238,64
25.09.2020,14:24:00,108531,115255,107953,114855,28
25.09.2020,14:25:00,111924,115215,108218,113248,4
25.09.2020,14:26:00,108127,114847,108127,114847,38
25.09.2020,14:27:00,109262,114769,107918,110362,67
25.09.2020,14:28:00,108241,115284,107963,108023,75
25.09.2020,14:29:00,111464,115285,108119,108302,15
25.09.2020,14:30:00,113098,115126,107937,107937,50
25.09.2020,14:31:00,110301,115227,107902,108111,92
25.09.2020,14:32:00,115039,115207,107974,109073,35
25.09.2020,14:33:00,114943,115276,107926,111930,52
25.09.2020,14:34:00,115244,115244,108024,113709,97
25.09.2020,14:35:00,113374,115282,107926,112083,89
25.09.2020,14:36:00,111579,115295,107994,109048,42
25.09.2020,14:37:00,114346,115267,107907,108356,26
25.09.2020,14:38:00,113864,115162,108030,112929,10
25.09.2020,14:39:00,112397,115277,108007,114181,44
25.09.2020,14:40:00,113772,114814,107981,111856,17
25.09.2020,14:41:00,111876,115139,107909,110959,25
25.09.2020,14:42:00,112405,115298,107913,110705,82
25.09.2020,14:43:00,113152,115234,108176,109082,42
25.09.2020,14:44:00,108739,115107,108051,110313,52
25.09.2020,14:45:00,113380,115219,107902,113252,75
25.09.2020,14:46:00,114753,115137,108121,110318,59
25.09.2020,14:47:00,114189,115261,108026,108665,31
25.09.2020,14:48:00,107961,115249,107903,110738,50
25.09.2020,14:49:00,111282,115292,108003,114275,89
25.09.2020,14:50:00,111963,115251,108008,108220,85
25.09.2020,14:51:00,115111,115111,108516,113818,2
25.09.2020,14:52:00,108132,115077,107932,107993,52
25.09.2020,14:53:00,114845,115242,108017,110337,61
25.09.2020,14:54:00,114103,115232,107915,109892,95
25.09.2020,14:55:00,109110,115142,107996,115142,92
25.09.2020,14:56:00,111347,115255,107908,108540,8
25.09.2020,14:57:00,112032,115224,107926,112222,10
25.09.2020,14:58:00,110895,115101,107959,109102,30
25.09.2020,14:59:00,107999,115072,107999,109356,24
25.09.2020,15:00:00,111005,115268,108133,115030,52
25.09.2020,15:01:00,111537,115259,108072,110722,58
25.09.2020,15:02:00,110722,115090,107924,113300,71
25.09.2020,15:03:00,109243,115267,107950,111293,62
25.09.2020,15:04:00,113534,115058,108324,112147,92
25.09.2020,15:05:00,113617,115237,108486,111261,14
25.09.2020,15:06:00,110318,115287,108026,112385,68
25.09.2020,15:07:00,109334,114973,108019,112477,80
25.09.2020,15:08:00,111563,115261,108010,113042,37
25.09.2020,15:09:00,114700,115254,107950,112106,3
25.09.2020,15:10:00,108398,115252,108344,110304,51
25.09.2020,15:11:00,108148,115066,107965,110679,2
25.09.2020,15:12:00,111124,115241,107908,115241,16
25.09.2020,15:13:00,108338,115143,107941,111437,52
25.09.2020,15:14:00,113892,115083,107948,111246,35
25.09.2020,15:15:00,108110,115237,107953,112098,7
25.09.2020,15:16:00,107974,115272,107908,110087,62
25.09.2020,15:17:00,111301,115223,108070,108917,7
25.09.2020,15:18:00,111676,115169,107908,110554,49
25.09.2020,15:19:00,108810,115271,108003,109799,90
25.09.2020,15:20:00,114967,115233,107926,115132,64
25.09.2020,15:21:00,108303,115105,107904,112928,46
25.09.2020,15:22:00,108561,115074,108346,112536,39
25.09.2020,15:23:00,110408,115237,108061,114162,51
25.09.2020,15:24:00,114856,115201,108003,111102,61
25.09.2020,15:25:00,111139,115120,108002,110238,93
25.09.2020,15:26:00,113554,115175,107996,112141,48
25.09.2020,15:27:00,111982,115167,107969,111590,17
25.09.2020,15:28:00,114586,115184,107942,114604,4
25.09.2020,15:29:00,111144,114966,108161,113754,15
25.09.2020,15:30:00,112673,115278,107925,115214,90
25.09.2020,15:31:00,114175,115229,108138,112563,68
25.09.2020,15:32:00,113003,115221,107921,109522,89
25.09.2020,15:33:00,113975,115017,107939,111276,92
25.09.2020,15:34:00,108550,115283,108233,112300,81
25.09.2020,15:35:00,108683,115248,108137,109897,26
25.09.2020,15:36:00,113081,115271,108062,113349,26
25.09.2020,15:37:00,109748,115270,108021,112342,47
25.09.2020,15:38:00,111940,115294,108061,111451,45
25.09.2020,15:39:00,111004,115268,107986,113958,88
25.09.2020,15:40:00,114819,115196,108024,112739,9
25.09.2020,15:41:00,115239,115264,107916,110703,64
25.09.2020,15:42:00,112912,115181,108059,113765,94
25.09.2020,15:43:00,109532,115280,107944,108221,72
25.09.2020,15:44:00,113724,115271,107924,110066,59
25.09.2020,15:45:00,110728,115033,108026,109663,5
25.09.2020,15:46:00,110515,115209,107954,108399,50
25.09.2020,15:47:00,111702,115216,107918,108987,22
25.09.2020,15:48:00,114291,115230,108084,108282,77
25.09.2020,15:49:00,109785,115277,108017,108732,21
25.09.2020,15:50:00,114713,115156,107999,113385,87
25.09.2020,15:51:00,115258,115258,108048,111643,78
25.09.2020,15:52:00,112429,115265,107951,111248,11
25.09.2020,15:53:00,110019,115130,107949,114278,12
25.09.2020,15:54:00,114135,115259,108009,109031,36
25.09.2020,15:55:00,114318,115218,108037,111217,73
25.09.2020,15:56:00,109803,115292,107928,108392,30
25.09.2020,15:57:00,110281,115268,108038,112633,24
25.09.2020,15:58:00,109803,115220,107999,111800,95
25.09.2020,15:59:00,108028,115003,107954,114041,63
25.09.2020,16:00:00,109512,115260,107921,108146,30
25.09.2020,16:01:00,115110,115110,107971,108938,8
25.09.2020,16:02:00,113788,115211,107904,112738,51
25.09.2020,16:03:00,113286,115220,107928,110469,94
25.09.2020,16:04:00,108248,115001,107933,110887,95
25.09.2020,16:05:00,112123,115267,107942,110826,75
25.09.2020,16:06:00,111240,115189,107933,108576,59
25.09.2020,16:07:00,112424,115276,107908,109376,37
25.09.2020,16:08:00,113776,115220,107986,113280,73
25.09.2020,16:09:00,114864,115085,108009,113300,51
25.09.2020,16:10:00,111144,115280,107968,108473,43
25.09.2020,16:11:00,108658,115288,108113,114850,37
25.09.2020,16:12:00,108956,115256,107963,108401,44
25.09.2020,16:13:00,111791,115151,107914,113797,98
25.09.2020,16:14:00,110182,115278,107907,110481,76
25.09.2020,16:15:00,113676,115244,108003,110999,84
25.09.2020,16:16:00,108709,115263,107962,109738,62
25.09.2020,16:17:00,111164,115278,108032,111346,68
25.09.2020,16:18:00,112893,115276,107903,110423,1
25.09.2020,16:19:00,113040,115175,107927,108401,90
25.09.2020,16:20:00,111403,115284,108108,110512,29
25.09.2020,16:21:00,109286,115210,107932,108978,69
25.09.2020,16:22:00,108289,115019,107906,109006,56
25.09.2020,16:23:00,114527,115256,107986,111531,11
25.09.2020,16:24:00,108038,115087,108038,108261,20
25.09.2020,16:25:00,108686,115195,108012,114598,5
25.09.2020,16:26:00,109258,115113,107905,109472,48
25.09.2020,16:27:00,108202,115032,108029,113222,64
25.09.2020,16:28:00,114285,115210,107938,109436,13
25.09.2020,16:29:00,112692,115039,107995,107995,63
25.09.2020,16:30:00,114433,115267,107917,112351,76
25.09.2020,16:31:00,112648,115288,107968,114666,93
25.09.2020,16:32:00,109737,115276,108144,112563,24
25.09.2020,16:33:00,110817,114700,107943,109720,71
25.09.2020,16:34:00,115111,115225,107926,109024,57
25.09.2020,16:35:00,109098,115259,107913,109726,50
25.09.2020,16:36:00,110351,115200,107994,111555,61
25.09.2020,16:37:00,110566,115247,107922,114278,6
25.09.2020,16:38:00,108312,115270,108019,110740,65
25.09.2020,16:39:00,113152,115175,107905,110301,10
25.09.2020,16:40:00,114401,115176,107944,113287,13
25.09.2020,16:41:00,112782,115144,107947,109572,61
25.09.2020,16:42:00,112171,115265,107902,112449,68
25.09.2020,16:43:00,110267,115136,107934,113516,76
25.09.2020,16:44:00,113972,115074,108007,108701,21
25.09.2020,16:45:00,109293,115017,107913,112304,70
25.09.2020,16:46:00,112987,115147,107912,112423,78
25.09.2020,16:47:00,111785,115131,108032,113675,81
25.09.2020,16:48:00,113788,115185,107919,115185,83
25.09.2020,16:49:00,110904,115248,108064,112040,38
25.09.2020,16:50:00,111962,115081,107959,114109,60
25.09.2020,16:51:00,114603,115278,107909,115052,41
25.09.2020,16:52:00,110049,115081,107961,111659,25
25.09.2020,16:53:00,111909,114901,107999,108847,39
25.09.2020,16:54:00,109353,115205,107984,110551,89
25.09.2020,16:55:00,115006,115006,107952,108406,49
25.09.2020,16:56:00,114023,115248,107915,110929,19
25.09.2020,16:57:00,109440,115222,108150,109312,51
25.09.2020,16:58:00,114609,115145,107910,114424,45
25.09.2020,16:59:00,108507,115285,108035,108115,51
25.09.2020,17:00:00,114277,115276,107936,109486,2
25.09.2020,17:01:00,112028,115175,108109,110372,3
25.09.2020,17:02:00,108884,115281,107904,109770,7
25.09.2020,17:03:00,114381,115252,108167,111629,11
25.09.2020,17:04:00,112857,115246,108109,111678,48
25.09.2020,17:05:00,115244,115244,107990,108498,76
25.09.2020,17:06:00,108062,115199,108020,111227,42
25.09.2020,17:07:00,112890,115184,107940,109632,39
25.09.2020,17:08:00,113935,115001,108008,108491,62
25.09.2020,17:09:00,112010,115198,107972,108404,20
25.09.2020,17:10:00,108413,115239,107929,109018,13
25.09.2020,17:11:00,109798,115238,107942,108317,70
25.09.2020,17:12:00,111179,115237,108120,112237,65
25.09.2020,17:13:00,109893,115160,108049,114247,89
25.09.2020,17:14:00,110117,115102,107982,115102,80
25.09.2020,17:15:00,112098,114987,107988,109800,19
25.09.2020,17:16:00,110880,114915,107907,108007,15
25.09.2020,17:17:00,108709,115211,107937,113909,83
25.09.2020,17:18:00,114444,115274,107917,108784,48
25.09.2020,17:19:00,110945,115197,107956,115197,74
25.09.2020,17:20:00,112848,115297,108084,110547,44
25.09.2020,17:21:00,110226,115092,107998,109174,39
25.09.2020,17:22:00,113402,115152,108014,110726,53
25.09.2020,17:23:00,114046,115268,107922,109947,31
25.09.2020,17:24:00,114030,114977,108040,111920,51
25.09.2020,17:26:00,113274,115262,108038,111678,31
25.09.2020,17:28:00,110662,115179,107934,112988,23
25.09.2020,17:29:00,109103,115043,107909,110732,92
25.09.2020,17:30:00,114078,115277,107921,107972,46
25.09.2020,17:31:00,110709,114985,108133,114671,20
25.09.2020,17:32:00,110230,115285,107951,110146,6
25.09.2020,17:33:00,111294,114914,108117,108235,98
25.09.2020,17:34:00,108594,115262,107937,108732,15
25.09.2020,17:35:00,114259,115182,108184,112771,50
25.09.2020,17:36:00,108806,115200,108011,108452,51
25.09.2020,17:37:00,112044,115031,108047,111512,1
25.09.2020,17:38:00,113539,115164,108038,114466,88
25.09.2020,17:39:00,113136,115094,107937,114589,73
25.09.2020,17:40:00,114342,115283,108093,114763,64
25.09.2020,17:41:00,113257,115146,107906,111594,12
25.09.2020,17:42:00,111806,115290,107971,113642,89
25.09.2020,17:43:00,113384,115298,108145,108427,73
25.09.2020,17:44:00,114228,115270,108406,113605,54
25.09.2020,17:45:00,108312,115192,107914,113200,68
25.09.2020,17:46:00,110399,115223,107959,109292,82
25.09.2020,17:47:00,110934,115099,108063,109986,29
25.09.2020,17:48:00,112007,115258,108010,110744,84
25.09.2020,17:49:00,114579,115168,108061,112049,4
25.09.2020,17:50:00,114167,115214,108169,114975,85
25.09.2020,17:52:00,111315,115291,108120,109473,55
25.09.2020,17:53:00,110041,115074,107908,112026,74
25.09.2020,17:54:00,110580,115134,108130,114333,44
25.09.2020,17:55:00,110422,115159,108050,114791,44
25.09.2020,17:56:00,112221,115035,107977,113157,95
25.09.2020,17:57:00,111644,115087,108056,112729,60
25.09.2020,17:58:00,114106,115299,108003,111727,14
25.09.2020,17:59:00,115092,115092,108040,112111,74
25.09.2020,18:00:00,108544,115222,108095,113045,35
25.09.2020,18:01:00,115068,115218,107906,113323,71
25.09.2020,18:02:00,112477,115288,107959,108754,36
25.09.2020,18:03:00,109058,115054,107974,112889,92
25.09.2020,18:04:00,113334,114801,108594,109923,63
25.09.2020,18:05:00,114582,115209,108005,109101,63
25.09.2020,18:06:00,112613,115273,107913,110538,90
25.09.2020,18:07:00,113534,115164,108302,109247,26
25.09.2020,18:08:00,108654,115212,108194,108194,58
25.09.2020,18:09:00,112081,115228,107905,109062,7
25.09.2020,18:10:00,113715,115287,107990,110620,65
25.09.2020,18:11:00,113113,115251,108198,108975,19
25.09.2020,18:12:00,114328,115291,108196,114869,17
25.09.2020,18:13:00,108070,115154,108043,112375,26
25.09.2020,18:14:00,113062,115245,108043,110816,82
25.09.2020,18:15:00,108871,115284,108035,111135,29
25.09.2020,18:16:00,113530,115220,107904,114465,35
25.09.2020,18:17:00,112759,115144,107922,113066,15
25.09.2020,18:18:00,109690,115283,108079,111848,84
25.09.2020,18:19:00,109043,115299,108168,108168,39
25.09.2020,18:20:00,112565,115200,108329,115190,30
25.09.2020,18:21:00,108934,115045,108021,110986,15
25.09.2020,18:22:00,110863,115075,107929,110992,16
25.09.2020,18:23:00,114813,115126,107996,110549,77
25.09.2020,18:24:00,111739,115289,107955,109440,60
25.09.2020,18:25:00,115065,115212,108116,111856,77
25.09.2020,18:26:00,109140,115202,108103,113941,44
25.09.2020,18:27:00,109762,115298,107914,113392,59
25.09.2020,18:28:00,111459,115254,107971,112402,98
25.09.2020,18:29:00,108252,115286,108144,110343,68
25.09.2020,18:30:00,109074,115184,108013,113806,76
25.09.2020,18:31:00,112699,115236,107922,115236,21
25.09.2020,18:32:00,111986,115130,107910,111714,5
25.09.2020,18:33:00,111540,115230,107914,114739,45
25.09.2020,18:34:00,110166,115250,108086,109489,35
25.09.2020,18:35:00,109553,115238,108009,110346,67
25.09.2020,18:36:00,111099,115262,107907,114032,19
25.09.2020,18:37:00,112501,115269,108004,111220,69
25.09.2020,18:38:00,113710,115238,108001,108001,27
25.09.2020,18:39:00,107989,115191,107936,112410,87
25.09.2020,18:40:00,114641,115063,107918,109191,70
25.09.2020,18:41:00,108415,115253,108053,109064,68
25.09.2020,18:42:00,114081,115283,107938,108185,19
25.09.2020,18:43:00,111653,115224,108293,115202,41
25.09.2020,18:44:00,111982,115143,107910,113188,98
25.09.2020,18:45:00,109157,114632,107963,110673,64
25.09.2020,18:46:00,110043,115114,107950,111625,36
25.09.2020,18:47:00,109878,115184,108018,111969,38
25.09.2020,18:48:00,115050,115050,107940,110189,42
25.09.2020,18:49:00,110206,115161,107917,108431,46
25.09.2020,18:50:00,114306,115262,107957,112760,55
25.09.2020,18:51:00,110686,114988,108005,111169,57
25.09.2020,18:52:00,113285,115173,107960,112193,70
25.09.2020,18:53:00,113228,115276,107914,112151,47
25.09.2020,18:54:00,111226,115245,107927,108097,43
25.09.2020,18:55:00,111930,115282,107920,111246,24
